           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
               15              -12                7      -0.84294581       -5119.6138        16.587305       -3842.6787        2.2937868         160.2803
               16              -12                7      -0.94992065       -4853.7295        16.644552       -2957.9666        2.1541636        180.89445
               17              -12                7       -1.0693581       -4614.0527        16.681833       -2022.4657        2.0080171        221.63055
               18              -12                7       -1.1669244       -4375.5796         16.60545       -996.94604        1.8726296        277.17859
              -18              -11                7       -1.2996517       -4445.4863        16.626877        723.79218        1.8242409       -158.88606
              -17              -11                7       -1.4528849         -4749.02        16.639711        2013.2588        1.9667641       -77.423965
              -16              -11                7       -1.5904275        -5133.707        16.668955        3254.6152         2.120882       -20.050854
              -15              -11                7       -1.7140207       -5589.0088        16.703915        4433.7432        2.2828932        13.597631
              -14              -11                7       -1.8385012       -6001.5044        16.637348        5417.2607        2.4150052        28.378031
              -13              -11                7        -1.944186       -6470.4194        16.576639        6353.7192        2.5537882        21.644974
              -12              -11                7        -2.081454       -7196.9316        16.527428        7449.0488        2.7356632       -20.465004
              -11              -11                7       -2.3106236        -8543.873        16.519909        8992.6221        3.0637336       -127.06191
              -10              -11                7       -2.5057726       -10074.831        16.552765        10493.043         3.479378       -270.30865
               -9              -11                7       -2.4705181       -11754.741        16.574223        10955.447        4.1328278       -801.45435
               -8              -11                7       -2.4487441        -13064.23        16.378927        10851.746        4.4761553       -1121.8873
               -7              -11                7       -2.0804589       -13822.144        16.728584        11028.162        4.7387214       -716.36279
               -6              -11                7       -1.8519423       -15055.805        17.155401         10486.24        5.1417942        -691.1543
               -5              -11                7       -1.6459489       -16463.285        17.726986        9294.8174        5.6460657       -935.75482
               -4              -11                7       -1.4383242       -17962.336        18.324968        7535.2822        6.1522465       -1315.7588
               -3              -11                7       -1.2681901       -19620.525        18.709845          5673.73        6.5382252       -1402.4791
               -2              -11                7       -1.2961798       -19684.605        18.533669        3321.9873         6.377718        -1493.437
               -1              -11                7       -1.1875858       -20553.621        18.819876        1036.5016         6.696805       -1671.3114
                0              -11                7       -1.0393668       -20833.617        19.461878       -206.33098        6.8656721        -465.3602
                1              -11                7       -1.2072083       -19812.219        19.491117       -2200.7402        6.4431076         186.7356
                2              -11                7       -1.0910444       -19521.203        19.201513       -4414.5415        6.2929716        47.227051
                3              -11                7       -1.0387914       -19953.617        19.320917       -6590.3877        6.5975661       -58.873188
                4              -11                7      -0.98155099       -18607.066        19.048315       -7851.0566        6.2784166       -33.963573
                5              -11                7       -0.8409875       -17324.689         18.61113       -8822.8604        5.9984651        49.032223
                6              -11                7       -0.7506634       -16275.684        18.286224       -10115.991        5.6392636       -249.25595
                7              -11                7      -0.71412206       -15222.155        18.225836       -11146.572        5.2969604       -5.7010498
                8              -11                7      -0.66366041       -13771.762        18.106949       -11475.164        4.8307772        819.13263
                9              -11                7      -0.53615183       -12309.975        17.836632       -11439.441        4.5086617        534.63501
               10              -11                7      -0.36219317       -10711.773        17.620468       -10888.055        4.2904873        298.02118
               11              -11                7      -0.34934616       -9217.2217        17.348991       -9463.3936        3.8238316        178.77791
               12              -11                7       -0.4696995       -7888.6924         17.13306       -7892.4097        3.2861719        155.38077
               13              -11                7      -0.63257253       -6726.8584         16.97921       -6304.8325        2.8707995        143.99023
