           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
              -16              -13                7        181347.05        891345.69        1443136.5        -10432623          2918116       -659732.25
              -15              -13                7        364377.66        900929.81        2054768.8        -10293566        3005810.5        -540783.5
              -14              -13                7        521813.03        910737.81        2759571.5        -10154628        3108342.5       -421430.22
              -13              -13                7        653653.19           920770          3557545        -10015811        3225712.8       -301672.44
              -12              -13                7        759898.13        931025.94          4448688         -9877113        3357920.5       -181510.13
              -11              -13                7        840547.81        941505.94        5433002.5         -9738534        3504965.8        -60943.23
              -10              -13                7        837665.31        954651.13          6456765         -9594827        3958798.5        67159.289
               -9              -13                7         761498.5           949664          7666956         -9391008        4393411.5        284642.34
               -8              -13                7        748202.38           985134        8308979.5         -9036903          5877572        493393.09
               -7              -13                7        1097620.8        982217.75          9250006         -8735410          7466851        630561.06
               -6              -13                7        1789624.9        844519.44         11340739         -8742151          8059628        654075.13
               -5              -13                7          2099835        761772.69         13335041         -8675547          8561070           605369
               -4              -13                7        1923227.8        707392.63         14883695         -8665024          8592397        667247.25
               -3              -13                7        1220023.6        664726.81         15530679         -8785380          8011285        1005056.8
               -2              -13                7           721903        708859.63         15877354         -8721202        7522713.5          1478639
               -1              -13                7        429960.53        470716.53         16740368         -8767684          7119623        1661318.9
                0              -13                7        190567.25        402789.63         16607127         -8438919        7784948.5        1707563.8
                1              -13                7       -504478.56        299392.47         16388236         -8250531          8022769        1902263.3
                2              -13                7       -1070133.3        138767.05         17085548         -8242463          7659653        1778144.4
                3              -13                7       -1375969.8         203435.8         16789512       -8130399.5        7426559.5        1661393.3
                4              -13                7       -1546986.9        296852.69         16206252         -8033120          6927489        1632989.8
                5              -13                7         -1699555        444349.13         15436740         -8170074        6412993.5        1583119.8
                6              -13                7         -1781511        549781.81         14609995         -8329576        5846843.5        1504622.3
                7              -13                7       -1779289.9        583647.44         13785872         -8416593        5231246.5        1406119.5
                8              -13                7       -1665694.4        412542.13         12658111         -8387292          4900765        1606904.5
                9              -13                7       -1215927.8       -41312.246         10792933       -8262152.5        4595894.5        2166800.3
               10              -13                7       -1170785.6           246268         10568764         -8417691        4186898.5        1681904.8
               11              -13                7         -1167893        268334.56          9939883         -8394849          3414040        1208254.9
               12              -13                7       -1181621.5        255444.42          9440655       -8317462.5          3054017        1007115.9
               13              -13                7       -1162377.4           289606          8966104         -8260354        2987484.5        1035098.7
               14              -13                7       -1123259.9        332187.09          8574544         -8172694        2922746.5        1069275.1
               15              -13                7       -1064269.4        383187.72        8265972.5         -8054479          2859804        1109645.3
               16              -13                7          -985406        442607.94        8040390.5       -7905711.5          2798657        1156209.1
               17              -13                7       -886669.69        510447.72          7897798         -7726391        2739305.5        1208966.8
               18              -13                7       -768060.25        586707.13          7838196       -7516516.5        2681749.3        1267918.3
              -18              -12                7       -310595.69        1003807.9        473280.59        -10717351          2943950       -911574.94
              -17              -12                7       -39413.293        1006070.8        948369.75        -10620459        3068211.3       -824278.06
              -16              -12                7        181310.41        1013961.6        1508489.4        -10485495        3199227.8       -699831.56
              -15              -12                7         372399.5        1022874.2          2158036        -10344345        3339370.3       -569868.44
              -14              -12                7        537893.25        1032010.8        2900752.3        -10203316        3494350.8       -439500.81
              -13              -12                7        677791.75        1041371.1        3736639.3        -10062407          3664169       -308728.56
              -12              -12                7        792095.06        1050955.4          4665697         -9921618        3848824.5       -177551.88
              -11              -12                7         811423.5        1064533.6          5632734         -9776718          4320177       -43225.547
              -10              -12                7        707256.13        1103768.3          6636933         -9611069          5568461        115585.44
               -9              -12                7        820059.31        1131186.3        7849918.5         -9275509        6138724.5        414913.13
               -8              -12                7        841991.38        1125637.9          8990268         -8890759        7400336.5        608928.81
               -7              -12                7        1614287.3        974118.69         10726171         -8847375        8089719.5        864638.31
               -6              -12                7          2078251        853060.69         12476366         -8778698          8550799          1057052
               -5              -12                7        2160421.3        786954.25         14130129         -8636677          8920543        1177245.8
               -4              -12                7          1860798         775799.5         15687462         -8421310          9198954        1225218.5
               -3              -12                7        1024436.1        767163.38         16353883         -8400969          8780176        1564314.5
               -2              -12                7        686582.56        796951.44         16972540         -8367714        8221601.5        2122644.5
               -1              -12                7        413619.94        559064.25         17843006         -8330995          7859536        2341661.3
                0              -12                7        264096.09        509383.81         17718282         -7909966          8597917        2378572.3
                1              -12                7       -469199.16        478136.25         17122236       -7679005.5          9066721        2618088.8
                2              -12                7       -1091171.1        231897.81         17978488         -7791351          8107915        2570836.3
                3              -12                7       -1608972.5        240633.17         18127052         -7577255          8376407        2300791.3
                4              -12                7         -1829831        402353.53         17357030       -7650979.5          7820598          2237656
                5              -12                7       -1998177.9        579940.69         16429706         -7922755        7287404.5        2126578.8
                6              -12                7       -2082347.3        685960.75         15505010         -8122045          6704767        1995496.1
                7              -12                7         -2127711        558956.25         14295712         -8133545        6662312.5        2186896.5
                8              -12                7         -1891515        154751.81         12419540       -7999045.5          6751868          2670551
                9              -12                7       -1433384.6       -181572.75         10750080         -7976100          6140720        2922453.3
               10              -12                7       -1343393.5        140938.44         10538862       -8259811.5        5386848.5          2411294
               11              -12                7         -1299731        327505.13          9955925         -8395540        4554208.5        1847051.8
               12              -12                7       -1285617.3        353464.13          9413280         -8362261          3812537        1389308.3
               13              -12                7       -1278711.5        342977.84          8995442       -8264445.5          3424334        1183853.8
               14              -12                7       -1223834.6           385505          8584958       -8183815.5          3294121          1213088
               15              -12                7       -1149084.8        436451.66          8257463         -8072632        3165701.8        1248515.8
               16              -12                7       -1054461.5        495817.94          8012956         -7930895        3039078.5        1290137.4
               17              -12                7          -938185        565228.69        7853763.5         -7756819        2912220.3        1336842.4
               18              -12                7       -782009.13        668506.13        7813950.5         -7526459        2778189.5        1376430.3
              -18              -11                7       -405017.22        1133523.1        419326.25        -10692933        3061047.8       -895171.13
              -17              -11                7        -124095.3        1129950.9        912819.69        -10598289          3195083       -805592.31
              -16              -11                7        128217.39        1128059.4        1522636.6        -10500122        3386834.3       -702601.56
              -15              -11                7        349903.09        1128525.9        2244489.3        -10394959          3629647        -584576.5
              -14              -11                7        523455.16        1136990.8          3025120        -10251838          3837075       -443194.47
              -13              -11                7        671412.13        1145679.6        3898920.3        -10108838        4059341.3       -301407.91
              -12              -11                7        712889.13        1159697.8        4809225.5         -9962754        4548098.5       -160882.08
              -11              -11                7        604032.19        1202543.3        5753723.5         -9798406          5762955       -6440.4063
              -10              -11                7        575881.56        1270926.8        6909758.5         -9617622          7161131        175433.41
               -9              -11                7        912884.94        1393338.6          8230804         -9174138        8038833.5        508309.25
               -8              -11                7        1314050.1        959836.38         10587830         -9306803          7905309        727420.75
               -7              -11                7        1903512.9        906307.25         11786298         -9012701        8351890.5        1310393.3
               -6              -11                7        2163175.3        815518.44         13119753         -8831815          8724389          1682132
               -5              -11                7        2017305.3        766052.31         14432977         -8614376          8962435        1971225.3
               -4              -11                7        1534651.3        786167.13         15662324         -8280317          9236478        2103896.5
               -3              -11                7        943742.88        878313.94         16869738         -7803206          9752159        1976826.5
               -2              -11                7        590583.88        829592.63         17781816       -7850635.5          9030386        2557935.3
               -1              -11                7        377446.06        612971.44         18292560       -7667853.5          9040620          2593562
                0              -11                7        313466.06        598062.88         17917908       -7136735.5         10064586        2525042.5
                1              -11                7       -423428.81        615395.63         17345360         -6911606         10519313          2923719
                2              -11                7       -1075324.9        411451.56         18290046       -7074404.5          9335592        3130803.3
                3              -11                7       -1563335.1         301473.5         18459406         -6863956          9200028          2876651
                4              -11                7       -1914679.8        489336.41         17674204       -7127702.5          8734367        2924678.8
                5              -11                7       -2277765.3        726066.94         17419988         -7671446          8160090          2717059
                6              -11                7       -2428479.3        680012.88         16469849         -7838353          7790006          2832504
                7              -11                7       -2547392.5        554708.94         15666058         -8049020          7385446        2807347.3
                8              -11                7       -2663385.5        393646.63         14488845       -8198248.5          7642506          2610367
                9              -11                7         -2348705        102938.84         12612336       -8077907.5          7195698        2832522.5
               10              -11                7       -1792717.8        53739.648         11025682       -8081899.5          6604056          2927152
               11              -11                7       -1418820.8        293773.78         10014077       -8296184.5          5662547          2523580
               12              -11                7       -1349560.3        418883.75          9342917         -8375946          4762106        1994617.5
               13              -11                7         -1324226        448735.06          8886510         -8332230        4051623.3        1552780.9
